ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
PR0012,SBPG,Comandante Antônio Amilton Beraldo,Paraná,PONTA GROSSA,788.0,-25.184444,-50.143889,"25°11'04""S","050°08'38""W"
RJ0001,SBGL,RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM,Rio de Janeiro,RIO DE JANEIRO,9.0,-22.81,-43.250556,"22°48'36""S","043°15'02""W"
SP0002,SBGR,Guarulhos - Governador André Franco Montoro,São Paulo,GUARULHOS,750.0,-23.435556,-46.473056,"23°26'08""S","046°28'23""W"
MG0001,SBCF,Tancredo Neves,Minas Gerais,CONFINS,829.0,-19.624444,-43.971944,"19°37'28""S","043°58'19""W"
SP1176,SBJH,São Paulo Catarina Aeroporto Executivo,São Paulo,SÃO ROQUE,777.0,-23.426944,-47.165833,"23°25'37""S","047°09'57""W"
MT0006,SWHP,Frederico Carlos Müller,Mato Grosso,ÁGUA BOA,450.0,-14.019722,-52.151944,"14°01'11""S","052°09'07""W"
RN0002,SBMS,Dix-Sept Rosado,Rio Grande do Norte,MOSSORÓ,23.0,-5.1958333,-37.361667,"05°11'45""S","037°21'42""W"
PE0001,SBRF,AEROPORTO INTERNACIONAL RECIFE/GUARARAPES - GILBERTO FREYRE,Pernambuco,RECIFE,10.0,-8.1263889,-34.922778,"08°07'35""S","034°55'22""W"
MG0027,SSOL,Padre Israel (Israel Batista de Carvalho),Minas Gerais,LAVRAS,959.0,-21.240556,-44.964167,"21°14'26""S","044°57'51""W"
MS0001,SBCG,Aeroporto Internacional de Campo Grande - Ueze Elias Zahran,Mato Grosso do Sul,CAMPO GRANDE,559.0,-20.469444,-54.670278,"20°28'10""S","054°40'13""W"
RN0001,SBSG,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,Rio Grande do Norte,SÃO GONÇALO DO AMARANTE,83.0,-5.7688889,-35.366389,"05°46'08""S","035°21'59""W"
AL0001,SBMO,Zumbi dos Palmares,Alagoas,MACEIÓ,118.0,-9.5108333,-35.791667,"09°30'39""S","035°47'30""W"
PB0001,SBJP,Presidente Castro Pinto,Paraíba,BAYEUX,66.0,-7.1483333,-34.950278,"07°08'54""S","034°57'01""W"
ES0004,SNCX,Colatina,Espírito Santo,COLATINA,153.0,-19.4875,-40.579444,"19°29'15""S","040°34'46""W"
SP0025,SDTP,José Vicente Faria Lima,São Paulo,TUPÃ,550.0,-21.89,-50.505833,"21°53'24""S","050°30'21""W"
PE0006,SNGN,Garanhuns,Pernambuco,GARANHUNS,759.0,-8.8344444,-36.471389,"08°50'04""S","036°28'17""W"
SP0019,SDBK,José Carlos de Barros Neiva,São Paulo,BOTUCATU,888.0,-22.937778,-48.468056,"22°56'16""S","048°28'05""W"
SP0035,SDJV,Municipal de São João da Boa Vista,,,762.0,-22.017778,-46.840833,"22°01'04""S","046°50'27""W"
SP0047,SDAI,Americana,São Paulo,AMERICANA,611.0,-22.755278,-47.268056,"22°45'19""S","047°16'05""W"
SP0010,SBAE,Bauru/Arealva,São Paulo,BAURU,598.0,-22.157778,-49.068333,"22°09'28""S","049°04'06""W"
CE0002,SBJU,Orlando Bezerra de Menezes,Ceará,JUAZEIRO DO NORTE,409.0,-7.2191667,-39.269444,"07°13'09""S","039°16'10""W"
MT0003,SBAT,PILOTO OSVALDO MARQUES DIAS,Mato Grosso,ALTA FLORESTA,289.0,-9.8663889,-56.105,"09°51'59""S","056°06'18""W"
PR0004,SBMG,Sílvio Name Júnior,Paraná,MARINGÁ,549.0,-23.476389,-52.017778,"23°28'35""S","052°01'04""W"
MT0004,SBRD,Rondonópolis - Maestro Marinho Franco,Mato Grosso,RONDONÓPOLIS,447.0,-16.588056,-54.721667,"16°35'17""S","054°43'18""W"
CE0006,SWBE,Walfrido Salmito de Almeida,Ceará,SÃO BENEDITO,884.0,-4.0427778,-40.893889,"04°02'34""S","040°53'38""W"
MT0001,SBCY,Marechal Rondon,Mato Grosso,CUIABÁ,188.0,-15.65,-56.1175,"15°39'00""S","056°07'03""W"
SP0027,SDCO,Sorocaba,São Paulo,SOROCABA,635.0,-23.477778,-47.49,"23°28'40""S","047°29'24""W"
RO0004,SSKW,Cacoal,Rondônia,CACOAL,249.0,-11.495556,-61.450833,"11°29'44""S","061°27'03""W"
SP0020,SDDN,Paulino Ribeiro de Andrade,São Paulo,ANDRADINA,380.0,-20.925,-51.381944,"20°55'30""S","051°22'55""W"
RS0009,SSKZ,Carazinho,Rio Grande do Sul,CARAZINHO,590.0,-28.321667,-52.816667,"28°19'18""S","052°49'00""W"
MG0030,SNDT,JUSCELINO KUBITSCHEK,Minas Gerais,DIAMANTINA,1356.0,-18.232222,-43.650278,"18°13'56""S","043°39'01""W"
RS0006,SBPF,Lauro Kurtz,Rio Grande do Sul,PASSO FUNDO,725.0,-28.244167,-52.328333,"28°14'39""S","052°19'42""W"
RJ0004,SBME,Macaé,,,2.0,-22.342778,-41.763889,"22°20'34""S","041°45'50""W"
